,Tournament,Date,Team_1,Team_2,Score_1,Score_2
1258,Tom's Tourney 2019,2019-05-05,Belgium U20,Hardfisch,10,9
1259,Tom's Tourney 2019,2019-05-05,GB U24 Men,Ragnarok,7,8
1260,Tom's Tourney 2019,2019-05-05,Rebel Ultimate,Craic Dealers 2.0,11,10
1261,Tom's Tourney 2019,2019-05-05,New Age,Friselis,10,5
1262,Tom's Tourney 2019,2019-05-05,Heidees,Raging Bananas,3,7
1263,Tom's Tourney 2019,2019-05-05,Flump,Fire of London,5,10
1264,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,Iznogood,9,6
1265,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Cusb Red Bulls,8,5
1266,Tom's Tourney 2019,2019-05-05,Wall City,Cotarica Grandes,8,5
1267,Tom's Tourney 2019,2019-05-05,Tchac,Belgium Open,9,10
1268,Tom's Tourney 2019,2019-05-05,Alba,Devon Ultimate,9,7
1269,Tom's Tourney 2019,2019-05-05,Amsterdam U.C. Open,Ka-Pow!,7,9
1270,Tom's Tourney 2019,2019-05-05,Mooncatchers,Blue Arse Flies,6,3
1271,Tom's Tourney 2019,2019-05-05,Glory Owls,Uproar,7,8
1272,Tom's Tourney 2019,2019-05-05,Panthers Bern,Frizzly Bears,10,7
1273,Tom's Tourney 2019,2019-05-05,Germany U20 Open,GOLD,10,9
1274,Tom's Tourney 2019,2019-05-05,Solebang,Ars Ludendi,6,8
1275,Tom's Tourney 2019,2019-05-05,Goldfingers,Belgium U20,7,9
1276,Tom's Tourney 2019,2019-05-05,Frizstyle,Hardfisch,10,9
1277,Tom's Tourney 2019,2019-05-05,Mosquitos,AtomSwift,8,4
1278,Tom's Tourney 2019,2019-05-05,Boys R Us,SUN,4,6
1279,Tom's Tourney 2019,2019-05-05,Heidees,Flump,9,7
1280,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Cota Viet,11,10
1281,Tom's Tourney 2019,2019-05-05,Iznogood,Belgium U24 Open,4,8
1282,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Wall City,10,5
1283,Tom's Tourney 2019,2019-05-05,Cusb Red Bulls,Cotarica Grandes,1,0
1284,Tom's Tourney 2019,2019-05-05,Belgium Open,Alba,7,10
1285,Tom's Tourney 2019,2019-05-05,Tchac,Devon Ultimate,8,10
1286,Tom's Tourney 2019,2019-05-05,Ka-Pow!,Ragnarok,5,9
1287,Tom's Tourney 2019,2019-05-05,Amsterdam U.C. Open,GB U24 Men,7,8
1288,Tom's Tourney 2019,2019-05-05,Rebel Ultimate,New Age,7,12
1289,Tom's Tourney 2019,2019-05-05,Craic Dealers 2.0,Friselis,10,7
1290,Tom's Tourney 2019,2019-05-05,Raging Bananas,Fire of London,9,8
1291,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,Freespeed,15,8
1292,Tom's Tourney 2019,2019-05-05,Solebang,Ars Ludendi,10,8
1293,Tom's Tourney 2019,2019-05-05,Panthers Bern,GOLD,8,5
1294,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Frizzly Bears,8,5
1295,Tom's Tourney 2019,2019-05-05,Germany U20 Open,Cota Viet,12,10
1296,Tom's Tourney 2019,2019-05-05,SUN,Mosquitos,13,11
1297,Tom's Tourney 2019,2019-05-05,Goldfingers,AtomSwift,12,5
1298,Tom's Tourney 2019,2019-05-05,Hardfisch,Boys R Us,8,6
1299,Tom's Tourney 2019,2019-05-05,Frizstyle,Belgium U20,11,6
1300,Vienna Spring Break 2019,2019-05-14,Yellow Block open,INNsiders Open,12,9
1301,Vienna Spring Break 2019,2019-05-14,Cusb Red Bulls,Brighton Open,2,15
1302,Vienna Spring Break 2019,2019-05-14,FUJ,Ka-Pow!,14,8
1303,Vienna Spring Break 2019,2019-05-14,FWD>>,Hardfisch,15,11
1304,Vienna Spring Break 2019,2019-05-14,M.U.C.,Catchup Graz,14,12
1305,Vienna Spring Break 2019,2019-05-14,Prague Devils,LOL,15,8
1306,Vienna Spring Break 2019,2019-05-14,Flying Angels Bern,thebigEZ,13,4
1307,Vienna Spring Break 2019,2019-05-14,7Schwaben,Cosmo Men,15,11
1308,Vienna Spring Break 2019,2019-05-14,Yellow Block open,Cusb Red Bulls,15,1
1309,Vienna Spring Break 2019,2019-05-14,INNsiders Open,Brighton Open,8,10
1310,Vienna Spring Break 2019,2019-05-14,FUJ,FWD>>,13,10
1311,Vienna Spring Break 2019,2019-05-14,Ka-Pow!,Hardfisch,13,9
1312,Vienna Spring Break 2019,2019-05-14,M.U.C.,Prague Devils,9,10
1313,Vienna Spring Break 2019,2019-05-14,Catchup Graz,LOL,15,9
1314,Vienna Spring Break 2019,2019-05-14,Flying Angels Bern,7Schwaben,8,12
1315,Vienna Spring Break 2019,2019-05-14,thebigEZ,Cosmo Men,7,11
1316,Vienna Spring Break 2019,2019-05-14,Yellow Block open,Brighton Open,8,9
1317,Vienna Spring Break 2019,2019-05-14,CUSB Red Bulls,INNsiders Open,4,15
1318,Vienna Spring Break 2019,2019-05-14,FUJ,Hardfisch,15,6
1319,Vienna Spring Break 2019,2019-05-14,FWD>>,Ka-Pow!,15,8
1320,Vienna Spring Break 2019,2019-05-14,M.U.C.,LOL,15,8
1321,Vienna Spring Break 2019,2019-05-14,Prague Devils,Catchup Graz,11,10
1322,Vienna Spring Break 2019,2019-05-14,Flying Angels Bern,Cosmo Men,14,8
1323,Vienna Spring Break 2019,2019-05-14,7Schwaben,thebigEZ,14,8
1324,Vienna Spring Break 2019,2019-05-14,Brighton Open,FWD>>,13,12
1325,Vienna Spring Break 2019,2019-05-14,FUJ,Yellow Block open,15,8
1326,Vienna Spring Break 2019,2019-05-14,Prague Devils,Flying Angels Bern,10,15
1327,Vienna Spring Break 2019,2019-05-14,7Schwaben,M.U.C.,10,15
1328,Vienna Spring Break 2019,2019-05-14,INNsiders Open,Hardfisch,15,9
1329,Vienna Spring Break 2019,2019-05-14,Ka-Pow!,CUSB Red Bulls,15,5
1330,Vienna Spring Break 2019,2019-05-14,Catchup Graz,thebigEZ,14,12
1331,Vienna Spring Break 2019,2019-05-14,Cosmo Men,LOL,15,10
1332,Vienna Spring Break 2019,2019-05-14,Brighton Open,M.U.C.,6,14
1333,Vienna Spring Break 2019,2019-05-14,FUJ,Flying Angels Bern,11,15
1334,Vienna Spring Break 2019,2019-05-14,FWD>>,7Schwaben,12,13
1335,Vienna Spring Break 2019,2019-05-14,Yellow Block open,Prague Devils,13,10
1336,Vienna Spring Break 2019,2019-05-14,INNsiders Open,Cosmo Men,15,6
1337,Vienna Spring Break 2019,2019-05-14,Ka-Pow!,Catchup Graz,14,15
1338,Vienna Spring Break 2019,2019-05-14,Hardfisch,LOL,15,10
1339,Vienna Spring Break 2019,2019-05-14,CUSB Red Bulls,thebigEZ,1,15
1340,Vienna Spring Break 2019,2019-05-14,Brighton Open,FUJ,9,15
1341,Vienna Spring Break 2019,2019-05-14,7Schwaben,Yellow Block open,15,13
1342,Vienna Spring Break 2019,2019-05-14,FWD>>,Prague Devils,15,9
1343,Vienna Spring Break 2019,2019-05-14,INNsiders Open,Catchup Graz,12,15
1344,Vienna Spring Break 2019,2019-05-14,Cosmo Men,Ka-Pow!,12,15
1345,Vienna Spring Break 2019,2019-05-14,Hardfisch,thebigEZ,11,15
1346,Vienna Spring Break 2019,2019-05-14,LOL,CUSB Red Bulls,15,3
1347,Vienna Spring Break 2019,2019-05-14,M.U.C.,Flying Angels Bern,14,11
1348,French Champ Open 1,2019-06-08,Tchac,Raging Bananas,15,10
1349,French Champ Open 1,2019-06-08,Tchac,Freezgo Uno,15,5
1350,French Champ Open 1,2019-06-08,Tchac,Magic Disc,15,9
1351,French Champ Open 1,2019-06-08,Tchac,33 Tours,15,12
1352,French Champ Open 1,2019-06-08,Tchac,BTRex,15,9
1353,French Champ Open 1,2019-06-08,Raging Bananas,Freezgo Uno,15,7
1354,French Champ Open 1,2019-06-08,Raging Bananas,Magic Disc,12,11
1355,French Champ Open 1,2019-06-08,Raging Bananas,33 Tours,14,15
1356,French Champ Open 1,2019-06-08,Raging Bananas,BTRex,15,9
1357,French Champ Open 1,2019-06-08,Freezgo Uno,Magic Disc,4,15
1358,French Champ Open 1,2019-06-08,Freezgo Uno,33 Tours,10,15
1359,French Champ Open 1,2019-06-08,Freezgo Uno,BTRex,8,15
1360,French Champ Open 1,2019-06-08,Magic Disc,33 Tours,12,15
1361,French Champ Open 1,2019-06-08,Magic Disc,BTRex,15,9
1362,French Champ Open 1,2019-06-08,33 Tours,BTRex,15,10
1363,French Champ Open 1,2019-06-08,Iznogood,Discobols,15,8
1364,French Champ Open 1,2019-06-08,Iznogood,Friselis,15,8
1365,French Champ Open 1,2019-06-08,Iznogood,Ah Ouh Puc,15,12
1366,French Champ Open 1,2019-06-08,Iznogood,Tourne-Disc,15,9
1367,French Champ Open 1,2019-06-08,Iznogood,Sun,15,9
1368,French Champ Open 1,2019-06-08,Discobols,Friselis,9,15
1369,French Champ Open 1,2019-06-08,Discobols,Ah Ouh Puc,13,15
1370,French Champ Open 1,2019-06-08,Discobols,Tourne-Disc,8,15
1371,French Champ Open 1,2019-06-08,Discobols,Sun,15,9
1372,French Champ Open 1,2019-06-08,Friselis,Ah Ouh Puc,15,3
1373,French Champ Open 1,2019-06-08,Friselis,Tourne-Disc,14,11
1374,French Champ Open 1,2019-06-08,Friselis,Sun,15,9
1375,French Champ Open 1,2019-06-08,Ah Ouh Puc,Tourne-Disc,15,8
1376,French Champ Open 1,2019-06-08,Ah Ouh Puc,Sun,15,12
1377,French Champ Open 1,2019-06-08,Tourne-Disc,Sun,12,15
1378,French Champ Open 1,2019-06-08,Tchac,Iznogood,15,11
1379,French Champ Open 1,2019-06-08,Tchac,33 Tours,15,5
1380,French Champ Open 1,2019-06-08,Tchac,Friselis,15,10
1381,French Champ Open 1,2019-06-08,Tchac,Raging Bananas,15,10
1382,French Champ Open 1,2019-06-08,Tchac,Ah Ouh Puc,15,10
1383,French Champ Open 1,2019-06-08,Iznogood,33 Tours,15,13
1384,French Champ Open 1,2019-06-08,Iznogood,Friselis,15,7
1385,French Champ Open 1,2019-06-08,Iznogood,Raging Bananas,15,9
1386,French Champ Open 1,2019-06-08,Iznogood,Ah Ouh Puc,15,9
1387,French Champ Open 1,2019-06-08,33 Tours,Friselis,11,15
1388,French Champ Open 1,2019-06-08,34 Tours,Raging Bananas,11,15
1389,French Champ Open 1,2019-06-08,35 Tours,Ah Ouh Puc,14,15
1390,French Champ Open 1,2019-06-08,Friselis,Raging Bananas,15,10
1391,French Champ Open 1,2019-06-08,Friselis,Ah Ouh Puc,15,7
1392,French Champ Open 1,2019-06-08,Raging Bananas,Ah Ouh Puc,11,15
1393,French Champ Open 1,2019-06-08,Magic Disc,Tourne-Disc,15,8
1394,French Champ Open 1,2019-06-08,Magic Disc,BTRex,15,9
1395,French Champ Open 1,2019-06-08,Magic Disc,Discobols,11,15
1396,French Champ Open 1,2019-06-08,Magic Disc,Freezgo Uno,12,15
1397,French Champ Open 1,2019-06-08,Magic Disc,Sun,15,14
1398,French Champ Open 1,2019-06-08,Tourne-Disc,BTRex,15,13
1399,French Champ Open 1,2019-06-08,Tourne-Disc,Discobols,5,15
1400,French Champ Open 1,2019-06-08,Tourne-Disc,Freezgo Uno,10,13
1401,French Champ Open 1,2019-06-08,Tourne-Disc,Sun,8,15
1402,French Champ Open 1,2019-06-08,BTRex,Discobols,14,15
1403,French Champ Open 1,2019-06-08,BTRex,Freezgo Uno,12,15
1404,French Champ Open 1,2019-06-08,BTRex,Sun,15,9
1405,French Champ Open 1,2019-06-08,Discobols,Freezgo Uno,8,15
1406,French Champ Open 1,2019-06-08,Discobols,Sun,15,12
1407,French Champ Open 1,2019-06-08,Freezgo Uno,Sun,13,15
1408,French Champ Open 1,2019-06-08,Tchac,Ah Ouh Puc,15,6
1409,French Champ Open 1,2019-06-08,Iznogood,Friselis,13,9
1410,French Champ Open 1,2019-06-08,Raging Bananas,Discobols,15,3
1411,French Champ Open 1,2019-06-08,33 Tours,Freezgo Uno,15,9
1412,French Champ Open 1,2019-06-08,Magic Disc,Tourne-Disc,15,8
1413,French Champ Open 1,2019-06-08,Sun,BTRex,14,15
1414,French Champ Open 1,2019-06-08,Tchac,Iznogood,9,15
1415,French Champ Open 1,2019-06-08,Ah Ouh Puc,Friselis,15,11
1416,French Champ Open 1,2019-06-08,Raging Bananas,33 Tours,15,14
1417,French Champ Open 1,2019-06-08,Discobols,Freezgo Uno,11,15
1418,French Champ Open 1,2019-06-08,Magic Disc,BTRex,15,9
1419,French Champ Open 1,2019-06-08,Tourne-Disc,Sun,11,15
