,Round,Team,Rank,Rating,W,L,Avg_Goal_Diff,Avg_Opponent_Rating
137,2,Cosmo Maribor,18,-3.88,1,1,-3.0,-0.87
138,2,KFK (Copenhagen Frisbee Club),19,-4.25,1,1,-4.0,-0.25
139,2,KFUM Örebro Frisbee,20,-4.5,0,2,-4.5,0.0
140,2,Catchup Graz,21,-5.0,1,1,-4.5,-0.5
141,2,ThebigEZ,22,-5.0,0,2,-5.5,0.5
142,2,Force Elektro,23,-6.62,0,2,-7.5,0.87
143,2,Crazy Dogs,24,-7.12,0,2,-8.5,1.37
144,1,Iznogood,1,5.5,1,0,11.0,-5.5
145,1,FWD>>,2,5.0,1,0,10.0,-5.0
146,1,Ragnarok,3,5.0,1,0,10.0,-5.0
147,1,Bad Skid,4,5.0,1,0,10.0,-5.0
148,1,Freespeed,5,4.5,1,0,9.0,-4.5
149,1,FUJ,6,3.5,1,0,7.0,-3.5
150,1,Chevron Action Flash,7,3.5,1,0,7.0,-3.5
151,1,CUSB La Fotta,8,2.5,1,0,5.0,-2.5
152,1,Clapham Ultimate,9,2.5,1,0,5.0,-2.5
153,1,Freezzz Beezzz,10,2.5,1,0,5.0,-2.5
154,1,Tchac,11,1.5,1,0,3.0,-1.5
155,1,Heidees,12,0.5,1,0,1.0,-0.5
156,1,Touchless,13,-0.5,0,1,-1.0,0.5
157,1,Frank N,14,-1.5,0,1,-3.0,1.5
158,1,KFUM Örebro Frisbee,15,-2.5,0,1,-5.0,2.5
159,1,Ranelagh,16,-2.5,0,1,-5.0,2.5
160,1,Otso,17,-2.5,0,1,-5.0,2.5
161,1,Crazy Dogs,18,-3.5,0,1,-7.0,3.5
162,1,COCKtail,19,-3.5,0,1,-7.0,3.5
163,1,KFK (Copenhagen Frisbee Club),20,-4.5,0,1,-9.0,4.5
164,1,Catchup Graz,21,-5.0,0,1,-10.0,5.0
165,1,ThebigEZ,22,-5.0,0,1,-10.0,5.0
166,1,Force Elektro,23,-5.0,0,1,-10.0,5.0
167,1,Cosmo Maribor,24,-5.5,0,1,-11.0,5.5
